"status","path","category","reason","commit_decision","risk","bytes","kind","rc_relation"
"??","apps/backend/src/superadmin/platform-operational-schema.spec.ts","02-backend-application","release candidate replacement","include-release","medium","795","text","direct"
"??","apps/backend/src/superadmin/platform-operational-schema.ts","02-backend-application","release candidate replacement","include-release","medium","9127","text","direct"
"M","apps/backend/src/superadmin/public-schema-bootstrap.service.ts","02-backend-application","release candidate replacement","include-release","medium","4341","text","direct"
"M","apps/backend/src/superadmin/tenants.controller.spec.ts","02-backend-application","release candidate replacement","include-release","medium","5898","text","direct"
"M","apps/backend/src/superadmin/tenants.controller.ts","02-backend-application","release candidate replacement","include-release","medium","1588","text","direct"
"??","apps/backend/src/telemetry/global-exception.filter.spec.ts","02-backend-application","release candidate replacement","include-release","medium","2508","text","direct"
"M","apps/backend/src/telemetry/global-exception.filter.ts","02-backend-application","release candidate replacement","include-release","medium","3029","text","direct"
"M","apps/backend/src/tenancy/tenancy.middleware.ts","02-backend-application","release candidate replacement","include-release","medium","9998","text","direct"
"M","apps/backend/src/tenancy/tenant-bootstrap.service.ts","02-backend-application","release candidate replacement","include-release","medium","9585","text","direct"
"??","apps/backend/src/tenant/dto/commercial-core.dto.ts","02-backend-application","release candidate replacement","include-release","medium","5012","text","direct"
"??","apps/backend/src/tenant/dto/tenant-crm.dto.ts","02-backend-application","release candidate replacement","include-release","medium","4843","text","direct"
"M","apps/backend/src/tenant/project-stage-model.spec.ts","02-backend-application","release candidate replacement","include-release","medium","2189","text","direct"
"M","apps/backend/src/tenant/project-stage-model.ts","02-backend-application","release candidate replacement","include-release","medium","5177","text","direct"
"??","apps/backend/src/tenant/tenant-automation-engine.service.ts","02-backend-application","release candidate replacement","include-release","medium","25535","text","direct"
"??","apps/backend/src/tenant/tenant-automation-performance-schema.ts","02-backend-application","release candidate replacement","include-release","medium","12759","text","direct"
"??","apps/backend/src/tenant/tenant-automation-performance.constants.ts","02-backend-application","release candidate replacement","include-release","medium","426","text","direct"
"??","apps/backend/src/tenant/tenant-automation-performance.dispatcher.ts","02-backend-application","release candidate replacement","include-release","medium","4193","text","direct"
"??","apps/backend/src/tenant/tenant-automation-performance.processor.ts","02-backend-application","release candidate replacement","include-release","medium","1511","text","direct"
"??","apps/backend/src/tenant/tenant-automation-performance.spec.ts","02-backend-application","release candidate replacement","include-release","medium","2513","text","direct"
"M","apps/backend/src/tenant/tenant-automations-schema.ts","02-backend-application","release candidate replacement","include-release","medium","14567","text","direct"
"M","apps/backend/src/tenant/tenant-automations.controller.ts","02-backend-application","release candidate replacement","include-release","medium","4714","text","direct"
"M","apps/backend/src/tenant/tenant-automations.service.spec.ts","02-backend-application","release candidate replacement","include-release","medium","7909","text","direct"
"M","apps/backend/src/tenant/tenant-automations.service.ts","02-backend-application","release candidate replacement","include-release","medium","81527","text","direct"
"M","apps/backend/src/tenant/tenant-automations.types.ts","02-backend-application","release candidate replacement","include-release","medium","9840","text","direct"
"M","apps/backend/src/tenant/tenant-briefing-quotes-schema.ts","02-backend-application","release candidate replacement","include-release","medium","11241","text","direct"
"??","apps/backend/src/tenant/tenant-commercial-access.service.spec.ts","02-backend-application","release candidate replacement","include-release","medium","2336","text","direct"
"??","apps/backend/src/tenant/tenant-commercial-access.service.ts","02-backend-application","release candidate replacement","include-release","medium","3150","text","direct"
"??","apps/backend/src/tenant/tenant-commercial-core.controller.ts","02-backend-application","release candidate replacement","include-release","medium","4257","text","direct"
"??","apps/backend/src/tenant/tenant-commercial-core.service.spec.ts","02-backend-application","release candidate replacement","include-release","medium","19947","text","direct"
"??","apps/backend/src/tenant/tenant-commercial-core.service.ts","02-backend-application","release candidate replacement","include-release","medium","77921","text","direct"
"M","apps/backend/src/tenant/tenant-contracts-schema.ts","02-backend-application","release candidate replacement","include-release","medium","20682","text","direct"
"M","apps/backend/src/tenant/tenant-contracts.service.ts","02-backend-application","release candidate replacement","include-release","medium","75966","text","direct"
